rOut_0,rOut_1,rOut_2,hT_0,hT_1,hT_2,f_0,f_1,f_2,extent,sob,flash_edep
50.0000,120.0000,50.0000,0.010000,0.150000,0.010000,0.9498,0.6269,0.9500,2000.0000,2.93000,2.63126e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,2000.0000,4.07000,6.76559e-07
79.2102,120.0000,50.0000,0.049724,0.125198,0.010000,0.5443,0.6929,0.9478,1043.5800,2.75000,2.24451e-07
50.0000,120.0000,50.0000,0.010000,0.145729,0.010000,0.9500,0.3809,0.9500,1984.6956,3.72000,5.55593e-07
50.0000,120.0000,120.0000,0.010000,0.150000,0.010000,0.6767,0.0000,0.5199,1679.9170,3.98000,1.20899e-06
103.6272,120.0000,120.0000,0.048683,0.114020,0.010000,0.5639,0.6185,0.6424,1374.8221,2.93000,2.13800e-07
50.0000,120.0000,50.0000,0.010000,0.150000,0.010000,0.9500,0.8550,0.9500,2000.0000,1.57000,1.08636e-07
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,800.0000,4.02000,7.74002e-07
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,1700.0000,4.36000,8.58219e-07
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,1100.0000,4.16000,8.27412e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,800.0000,3.87000,6.08689e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,1700.0000,4.06000,6.53784e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,1100.0000,3.99000,6.34321e-07
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,1400.0000,4.26000,8.11793e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,2000.0000,4.08000,6.16913e-07
50.0000,119.9996,50.0000,0.089269,0.054417,0.150000,0.0446,0.2906,0.9500,1400.0000,4.03000,6.32580e-07
120.0000,120.0000,50.0000,0.017634,0.064432,0.150000,0.4259,0.1194,0.8648,2000.0000,4.40000,9.26793e-07
